名称;类别;编号;通径;内径(mm);外径（mm）;最低工作温度（℃）;最高工作温度（℃）;工作压力（Bar）;爆破压力（Bar）;真空压力（Bar）;弯曲半径（mm）
PTH橡胶PTFE软管;橡胶软管;102RH07;DN102;102;119;-40;150;16;48;-0.9;600
CKP导电特氟龙橡胶管;橡胶软管;19RH08;DN19;19;31;-40;150;16;48;-0.9;200
CKP导电特氟龙橡胶管;橡胶软管;25RH08;DN25;25;37;-40;150;16;48;-0.9;225
CKP导电特氟龙橡胶管;橡胶软管;38RH08;DN38;38;51;-40;150;16;48;-0.9;350
CKP导电特氟龙橡胶管;橡胶软管;51RH08;DN51;51;66;-40;150;16;48;-0.9;500
PTCH抗静电PTFE橡胶管;橡胶软管;19RH09;DN19;19;31;-40;150;16;48;-0.9;120
PTCH抗静电PTFE橡胶管;橡胶软管;25RH09;DN25;25;37;-40;150;16;48;-0.9;150
PTCH抗静电PTFE橡胶管;橡胶软管;32RH09;DN32;32;44;-40;150;16;48;-0.9;200
PTCH抗静电PTFE橡胶管;橡胶软管;38RH09;DN38;38;51;-40;150;16;48;-0.9;250
PTCH抗静电PTFE橡胶管;橡胶软管;51RH09;DN51;51;66;-40;150;16;48;-0.9;300
PTCH抗静电PTFE橡胶管;橡胶软管;64RH09;DN64;64;78;-40;150;16;48;-0.9;400
PTCH抗静电PTFE橡胶管;橡胶软管;76RH09;DN76;76;92;-40;150;16;48;-0.9;500
PHS重型燃油排吸管;橡胶软管;19RH10;DN19;19;31;-30;80;20;60;-0.9;50
PHS重型燃油排吸管;橡胶软管;25RH11;DN25;25;37;-30;80;20;60;-0.9;75
PHS重型燃油排吸管;橡胶软管;32RH12;DN32;32;44;-30;80;20;60;-0.9;90
PHS重型燃油排吸管;橡胶软管;38RH13;DN38;38;51;-30;80;20;60;-0.9;100
PHS重型燃油排吸管;橡胶软管;45RH14;DN45;45;60;-30;80;20;60;-0.9;145
PHS重型燃油排吸管;橡胶软管;51RH15;DN51;51;66;-30;80;20;60;-0.9;150
PHS重型燃油排吸管;橡胶软管;57RH16;DN57;57;72;-30;80;20;60;-0.9;170
PHS重型燃油排吸管;橡胶软管;64RH17;DN64;64;78;-30;80;20;60;-0.9;180
PHS重型燃油排吸管;橡胶软管;76RH18;DN76;76;92;-30;80;20;60;-0.9;210
PHS重型燃油排吸管;橡胶软管;102RH19;DN102;102;119;-30;80;20;60;-0.9;400
PHS重型燃油排吸管;橡胶软管;127RH20;DN127;127;145;-30;80;20;60;-0.8;500
PHS重型燃油排吸管;橡胶软管;152RH21;DN152;152;175;-30;80;20;60;-0.8;700
PST轻型燃油排吸管;橡胶软管;19RH11;DN19;19;31;-30;80;10;30;-0.9;60
PST轻型燃油排吸管;橡胶软管;25RH11;DN25;25;37;-30;80;10;30;-0.9;75
PST轻型燃油排吸管;橡胶软管;32RH11;DN32;32;47;-30;80;10;30;-0.9;100
PST轻型燃油排吸管;橡胶软管;38RH11;DN38;38;51;-30;80;10;30;-0.9;120
PST轻型燃油排吸管;橡胶软管;45RH11;DN45;45;59;-30;80;10;30;-0.9;135
PST轻型燃油排吸管;橡胶软管;51RH11;DN51;51;65;-30;80;10;30;-0.9;150
PST轻型燃油排吸管;橡胶软管;57RH11;DN57;57;71;-30;80;10;30;-0.9;170
PST轻型燃油排吸管;橡胶软管;60RH11;DN60;60;75;-30;80;10;30;-0.9;180
PST轻型燃油排吸管;橡胶软管;64RH11;DN64;64;79;-30;80;10;30;-0.9;190
PST轻型燃油排吸管;橡胶软管;70RH11;DN70;70;85;-30;80;10;30;-0.9;210
PST轻型燃油排吸管;橡胶软管;76RH11;DN76;76;91;-30;80;10;30;-0.9;235
PST轻型燃油排吸管;橡胶软管;89RH11;DN89;89;;-30;80;10;30;-0.9;
PST轻型燃油排吸管;橡胶软管;102RH11;DN102;102;119;-30;80;10;30;-0.9;400
PST轻型燃油排吸管;橡胶软管;127RH11;DN127;127;146;-30;80;10;30;-0.8;500
PST轻型燃油排吸管;橡胶软管;152RH11;DN152;152;172;-30;80;10;30;-0.8;750
PST轻型燃油排吸管;橡胶软管;204RH11;DN204;204;225;-30;80;10;30;-0.8;1200
PST轻型燃油排吸管;橡胶软管;254RH11;DN254;254;290;-30;80;10;30;-0.8;1500
PST轻型燃油排吸管;橡胶软管;305RH11;DN305;305;335;-30;80;10;30;-0.75;1800
FDH燃油输送管;橡胶软管;6RH12;DN6;6;15;-30;80;20;60;-0.5;30
FDH燃油输送管;橡胶软管;8RH12;DN8;8;18;-30;80;20;60;-0.5;40
FDH燃油输送管;橡胶软管;10RH12;DN10;10;21;-30;80;20;60;-0.5;50
FDH燃油输送管;橡胶软管;13RH12;DN13;13;24;-30;80;20;60;-0.5;70
FDH燃油输送管;橡胶软管;16RH12;DN16;16;28;-30;80;20;60;-0.3;90
FDH燃油输送管;橡胶软管;19RH12;DN19;19;31;-30;80;20;60;-0.3;105
FDH燃油输送管;橡胶软管;25RH12;DN25;25;37;-30;80;20;60;-0.2;150
FDH燃油输送管;橡胶软管;32RH12;DN32;32;45;-30;80;20;60;-0.2;200
FDH燃油输送管;橡胶软管;38RH12;DN38;38;51;-30;80;20;60;-0.2;260
FDH燃油输送管;橡胶软管;51RH12;DN51;51;67;-30;80;20;60;-0.1;400
AH水气橡胶管;橡胶软管;6RH13;DN6;6;12;-20;80;20;60;-0.5;30
AH水气橡胶管;橡胶软管;8RH13;DN8;8;15;-20;80;20;60;-0.5;40
AH水气橡胶管;橡胶软管;10RH13;DN10;10;17;-20;80;20;60;-0.5;50
AH水气橡胶管;橡胶软管;13RH13;DN13;13;21;-20;80;20;60;-0.5;70
AH水气橡胶管;橡胶软管;16RH13;DN16;16;25;-20;80;20;60;-0.2;90
AH水气橡胶管;橡胶软管;19RH13;DN19;19;29;-20;80;20;60;-0.2;105
AH水气橡胶管;橡胶软管;25RH13;DN25;25;35;-20;80;20;60;-0.2;150
AH水气橡胶管;橡胶软管;32RH13;DN32;32;43;-20;80;20;60;-0.1;200
AH水气橡胶管;橡胶软管;38RH13;DN38;38;50;-20;80;20;60;-0.1;260
AH水气橡胶管;橡胶软管;51RH13;DN51;51;64;-20;80;20;60;-0.05;400
HAH重型水气橡胶管;橡胶软管;6RH14;DN6;6;15;-40;120;30;90;-0.5;30
HAH重型水气橡胶管;橡胶软管;8RH14;DN8;8;18;-40;120;30;90;-0.5;40
HAH重型水气橡胶管;橡胶软管;10RH14;DN10;10;21;-40;120;30;90;-0.5;50
HAH重型水气橡胶管;橡胶软管;13RH14;DN13;13;24;-40;120;30;90;-0.5;70
HAH重型水气橡胶管;橡胶软管;16RH14;DN16;16;28;-40;120;30;90;-0.3;90
HAH重型水气橡胶管;橡胶软管;19RH14;DN19;19;31;-40;120;30;90;-0.3;105
HAH重型水气橡胶管;橡胶软管;25RH14;DN25;25;37;-40;120;30;90;-0.2;150
HAH重型水气橡胶管;橡胶软管;32RH14;DN32;32;45;-40;120;30;90;-0.2;200
HAH重型水气橡胶管;橡胶软管;38RH14;DN38;38;51;-40;120;30;90;-0.2;260
HAH重型水气橡胶管;橡胶软管;51RH14;DN51;51;67;-40;120;30;90;-0.1;400
HAH重型水气橡胶管;橡胶软管;64RH14;DN64;64;79;-40;120;30;90;-0.1;450
HAH重型水气橡胶管;橡胶软管;76RH14;DN76;76;92;-40;120;30;90;-0.05;550
HAH重型水气橡胶管;橡胶软管;102RH14;DN102;102;120;-40;120;30;90;0;650
CAR陶瓷耐磨管;橡胶软管;51RH15;DN51;51;85;-30;80;10;30;-0.9;300
CAR陶瓷耐磨管;橡胶软管;64RH15;DN64;64;100;-30;80;10;30;-0.9;400
CAR陶瓷耐磨管;橡胶软管;76RH15;DN76;76;110;-30;80;10;30;-0.9;450
CAR陶瓷耐磨管;橡胶软管;80RH15;DN80;80;115;-30;80;10;30;-0.9;500
CAR陶瓷耐磨管;橡胶软管;102RH15;DN102;102;135;-30;80;10;30;-0.9;600
CAR陶瓷耐磨管;橡胶软管;127RH15;DN127;127;160;-30;80;10;30;-0.9;750
CAR陶瓷耐磨管;橡胶软管;152RH15;DN152;152;185;-30;80;10;30;-0.9;1000
CAR陶瓷耐磨管;橡胶软管;204RH15;DN204;204;240;-30;80;10;30;-0.9;1500
CAR陶瓷耐磨管;橡胶软管;254RH15;DN254;254;290;-30;80;10;30;-0.9;2500
CAR陶瓷耐磨管;橡胶软管;305RH15;DN305;305;350;-30;80;10;30;-0.9;3000
CAR陶瓷耐磨管;橡胶软管;356RH15;DN356;356;400;-30;80;10;30;-0.8;4000
CAR陶瓷耐磨管;橡胶软管;406RH15;DN406;406;450;-30;80;10;30;-0.8;5000
CAR陶瓷耐磨管;橡胶软管;508RH15;DN508;508;560;-30;80;10;30;-0.8;8000
NCH无碳绝缘管;橡胶软管;13RH16;DN13;13;22;-40;120;20;60;-0.5;90
NCH无碳绝缘管;橡胶软管;16RH16;DN16;16;26;-40;120;20;60;-0.3;100
NCH无碳绝缘管;橡胶软管;19RH16;DN19;19;31;-40;120;20;60;-0.3;120
NCH无碳绝缘管;橡胶软管;25RH16;DN25;25;37;-40;120;20;60;-0.2;150
NCH无碳绝缘管;橡胶软管;32RH16;DN32;32;45;-40;120;20;60;-0.2;200
NCH无碳绝缘管;橡胶软管;38RH16;DN38;38;53;-40;120;20;60;-0.2;240
NCH无碳绝缘管;橡胶软管;51RH16;DN51;51;67;-40;120;20;60;-0.1;300
NCH无碳绝缘管;橡胶软管;64RH16;DN64;64;79;-40;120;20;60;-0.1;400
NCH无碳绝缘管;橡胶软管;76RH16;DN76;76;92;-40;120;20;60;-0.05;480
HFP食品级橡胶管;橡胶软管;19RH17;DN19;19;31;-30;100;16;48;-0.9;50
HFP食品级橡胶管;橡胶软管;25RH17;DN25;25;38;-30;100;16;48;-0.9;75
HFP食品级橡胶管;橡胶软管;32RH17;DN32;32;44;-30;100;16;48;-0.9;90
HFP食品级橡胶管;橡胶软管;38RH17;DN38;38;51;-30;100;16;48;-0.9;100
HFP食品级橡胶管;橡胶软管;51RH17;DN51;51;66;-30;100;16;48;-0.9;150
HFP食品级橡胶管;橡胶软管;64RH17;DN64;64;79;-30;100;16;48;-0.9;180
HFP食品级橡胶管;橡胶软管;76RH17;DN76;76;93;-30;100;16;48;-0.9;225
HFP食品级橡胶管;橡胶软管;89RH17;DN89;89;107;-30;100;16;48;-0.9;300
HFP食品级橡胶管;橡胶软管;102RH17;DN102;102;120;-30;100;16;48;-0.9;400
HFX超柔食品级胶管;橡胶软管;19RH18;DN19;19;31;-30;100;16;48;-0.9;50
HFX超柔食品级胶管;橡胶软管;25RH18;DN25;25;38;-30;100;16;48;-0.9;75
HFX超柔食品级胶管;橡胶软管;32RH18;DN32;32;44;-30;100;16;48;-0.9;90
HFX超柔食品级胶管;橡胶软管;38RH18;DN38;38;51;-30;100;16;48;-0.9;100
HFX超柔食品级胶管;橡胶软管;51RH18;DN51;51;66;-30;100;16;48;-0.9;150
HFX超柔食品级胶管;橡胶软管;64RH18;DN64;64;79;-30;100;16;48;-0.9;180
HFX超柔食品级胶管;橡胶软管;76RH18;DN76;76;93;-30;100;16;48;-0.9;225
HFX超柔食品级胶管;橡胶软管;89RH18;DN89;89;107;-30;100;16;48;-0.9;300
HFX超柔食品级胶管;橡胶软管;102RH18;DN102;102;120;-30;100;16;48;-0.9;400
UCH食品级UPE化学管;橡胶软管;19RH19;DN19;19;31;-30;100;16;48;-0.9;90
UCH食品级UPE化学管;橡胶软管;25RH19;DN25;25;37;-30;100;16;48;-0.9;120
UCH食品级UPE化学管;橡胶软管;32RH19;DN32;32;44;-30;100;16;48;-0.9;140
UCH食品级UPE化学管;橡胶软管;38RH19;DN38;38;51;-30;100;16;48;-0.9;150
UCH食品级UPE化学管;橡胶软管;45RH19;DN45;45;60;-30;100;16;48;-0.9;200
UCH食品级UPE化学管;橡胶软管;51RH19;DN51;51;66;-30;100;16;48;-0.9;210
UCH食品级UPE化学管;橡胶软管;57RH19;DN57;57;72;-30;100;16;48;-0.9;220
UCH食品级UPE化学管;橡胶软管;64RH19;DN64;64;78;-30;100;16;48;-0.9;240
UCH食品级UPE化学管;橡胶软管;76RH19;DN76;76;92;-30;100;16;48;-0.9;300
UCH食品级UPE化学管;橡胶软管;102RH19;DN102;102;119;-30;100;16;48;-0.9;400
UCH食品级UPE化学管;橡胶软管;127RH19;DN127;127;145;-30;100;16;48;-0.8;500
UCH食品级UPE化学管;橡胶软管;152RH19;DN152;152;175;-30;100;16;48;-0.8;800
PFAH橡胶PFA软管;橡胶软管;19RH20;DN19;19;31;-40;150;16;48;-0.9;120
PFAH橡胶PFA软管;橡胶软管;25RH20;DN25;25;37;-40;150;16;48;-0.9;150
PFAH橡胶PFA软管;橡胶软管;32RH20;DN32;32;44;-40;150;16;48;-0.9;200
PFAH橡胶PFA软管;橡胶软管;38RH20;DN38;38;51;-40;150;16;48;-0.9;250
PFAH橡胶PFA软管;橡胶软管;51RH20;DN51;51;66;-40;150;16;48;-0.9;300
PFAH橡胶PFA软管;橡胶软管;64RH20;DN64;64;78;-40;150;16;48;-0.9;400
PFAH橡胶PFA软管;橡胶软管;76RH20;DN76;76;92;-40;150;16;48;-0.9;500
PFAH橡胶PFA软管;橡胶软管;102RH20;DN102;102;119;-40;150;16;48;-0.9;600
HDS轻型回油管;橡胶软管;19RH21;DN19;19;31;-40;100;10;30;-0.9;60
HDS轻型回油管;橡胶软管;25RH21;DN25;25;37;-40;100;10;30;-0.9;75
HDS轻型回油管;橡胶软管;32RH21;DN32;32;47;-40;100;10;30;-0.9;100
HDS轻型回油管;橡胶软管;38RH21;DN38;38;51;-40;100;10;30;-0.9;120
HDS轻型回油管;橡胶软管;45RH21;DN45;45;59;-40;100;10;30;-0.9;135
HDS轻型回油管;橡胶软管;51RH21;DN51;51;65;-40;100;10;30;-0.9;150
HDS轻型回油管;橡胶软管;57RH21;DN57;57;71;-40;100;10;30;-0.9;170
HDS轻型回油管;橡胶软管;60RH21;DN60;60;75;-40;100;10;30;-0.9;180
HDS轻型回油管;橡胶软管;64RH21;DN64;64;79;-40;100;10;30;-0.9;190
HDS轻型回油管;橡胶软管;70RH21;DN70;70;85;-40;100;10;30;-0.9;210
HDS轻型回油管;橡胶软管;76RH21;DN76;76;91;-40;100;10;30;-0.9;235
HDS轻型回油管;橡胶软管;102RH21;DN102;102;119;-40;100;10;30;-0.9;400
HDS轻型回油管;橡胶软管;127RH21;DN127;127;146;-40;100;10;30;-0.9;500
HDS轻型回油管;橡胶软管;152RH21;DN152;152;172;-40;100;10;30;-0.9;750
WS橡胶排吸水管;橡胶软管;13RH22;DN13;13;24;-40;120;16;48;-0.9;40
WS橡胶排吸水管;橡胶软管;16RH22;DN16;16;28;-40;120;16;48;-0.9;45
WS橡胶排吸水管;橡胶软管;19RH22;DN19;19;31;-40;120;16;48;-0.9;50
WS橡胶排吸水管;橡胶软管;25RH22;DN25;25;37;-40;120;16;48;-0.9;75
WS橡胶排吸水管;橡胶软管;32RH22;DN32;32;44;-40;120;16;48;-0.9;90
WS橡胶排吸水管;橡胶软管;38RH22;DN38;38;51;-40;120;16;48;-0.9;100
WS橡胶排吸水管;橡胶软管;45RH22;DN45;45;60;-40;120;16;48;-0.9;145
WS橡胶排吸水管;橡胶软管;51RH22;DN51;51;66;-40;120;16;48;-0.9;150
WS橡胶排吸水管;橡胶软管;57RH22;DN57;57;72;-40;120;16;48;-0.9;170
WS橡胶排吸水管;橡胶软管;64RH22;DN64;64;78;-40;120;16;48;-0.9;180
WS橡胶排吸水管;橡胶软管;76RH22;DN76;76;92;-40;120;16;48;-0.9;210
WS橡胶排吸水管;橡胶软管;102RH22;DN102;102;119;-40;120;16;48;-0.9;400
WS橡胶排吸水管;橡胶软管;127RH22;DN127;127;145;-40;120;16;48;-0.8;500
WS橡胶排吸水管;橡胶软管;152RH22;DN152;152;175;-40;120;16;48;-0.8;700
WS橡胶排吸水管;橡胶软管;204RH22;DN204;204;228;-40;120;16;48;-0.8;1200
WS橡胶排吸水管;橡胶软管;254RH22;DN254;254;285;-40;120;16;48;-0.8;1650
WS橡胶排吸水管;橡胶软管;305RH22;DN305;305;340;-40;120;16;48;-0.8;2100
ALH自动化水气橡胶管;橡胶软管;6RH23;DN6;6;13;-30;100;20;60;-0.5;50
ALH自动化水气橡胶管;橡胶软管;8RH23;DN8;8;15;-30;100;20;60;-0.5;60
ALH自动化水气橡胶管;橡胶软管;10RH23;DN10;10;17;-30;100;20;60;-0.5;70
ALH自动化水气橡胶管;橡胶软管;13RH23;DN13;13;21;-30;100;20;60;-0.5;100
ALH自动化水气橡胶管;橡胶软管;16RH23;DN16;16;24;-30;100;20;60;-0.4;120
ALH自动化水气橡胶管;橡胶软管;19RH23;DN19;19;28;-30;100;20;60;-0.3;150
ALH自动化水气橡胶管;橡胶软管;25RH23;DN25;25;36;-30;100;20;60;-0.3;200
ALHE自动化水气橡胶管;橡胶软管;6RH24;DN6;6;13;-40;120;20;60;-0.5;50
ALHE自动化水气橡胶管;橡胶软管;8RH24;DN8;8;15;-40;120;20;60;-0.5;60
ALHE自动化水气橡胶管;橡胶软管;10RH24;DN10;10;17;-40;120;20;60;-0.5;70
ALHE自动化水气橡胶管;橡胶软管;13RH24;DN13;13;21;-40;120;20;60;-0.5;100
ALHE自动化水气橡胶管;橡胶软管;16RH24;DN16;16;24;-40;120;20;60;-0.4;120
ALHE自动化水气橡胶管;橡胶软管;19RH24;DN19;19;28;-40;120;20;60;-0.3;150
ALHE自动化水气橡胶管;橡胶软管;25RH24;DN25;25;36;-40;120;20;60;-0.3;200
CKF特氟龙橡胶管;橡胶软管;19RH25;DN19;19;31;-40;150;16;48;-0.9;200
CKF特氟龙橡胶管;橡胶软管;25RH25;DN25;25;37;-40;150;16;48;-0.9;225
CKF特氟龙橡胶管;橡胶软管;32RH25;DN32;32;44;-40;150;16;48;-0.9;275
CKF特氟龙橡胶管;橡胶软管;38RH25;DN38;38;51;-40;150;16;48;-0.9;350
CKF特氟龙橡胶管;橡胶软管;51RH25;DN51;51;66;-40;150;16;48;-0.9;400
CKF特氟龙橡胶管;橡胶软管;64RH25;DN64;64;79;-40;150;16;48;-0.9;450
CKF特氟龙橡胶管;橡胶软管;76RH25;DN76;76;91;-40;150;16;48;-0.9;525
FHL防碾压食品管;橡胶软管;51RH26;DN51;51;65;-30;100;10;30;-0.7;205
FHL防碾压食品管;橡胶软管;64RH26;DN64;64;78;-30;100;10;30;-0.7;255
FHL防碾压食品管;橡胶软管;76RH26;DN76;76;91;-30;100;10;30;-0.7;305
SMW钢厂防火水管;橡胶软管;25RH27;DN25;25;39;-40;130;10;30;-0.9;240
SMW钢厂防火水管;橡胶软管;32RH27;DN32;32;46;-40;130;10;30;-0.9;300
SMW钢厂防火水管;橡胶软管;38RH27;DN38;38;54;-40;130;10;30;-0.9;350
SMW钢厂防火水管;橡胶软管;51RH27;DN51;51;69;-40;130;10;30;-0.9;420
SMW钢厂防火水管;橡胶软管;64RH27;DN64;64;86;-40;130;10;30;-0.9;550
SMW钢厂防火水管;橡胶软管;76RH27;DN76;76;98;-40;130;10;30;-0.9;600
SMW钢厂防火水管;橡胶软管;102RH27;DN102;102;124;-40;130;10;30;-0.9;800
SWS轻型高压清洗管;橡胶软管;6RH28;DN6;6;15;-40;100;80;240;-0.5;30
SWS轻型高压清洗管;橡胶软管;8RH28;DN8;8;18;-40;100;80;240;-0.5;40
SWS轻型高压清洗管;橡胶软管;10RH28;DN10;10;21;-40;100;80;240;-0.5;50
SWS轻型高压清洗管;橡胶软管;13RH28;DN13;13;24;-40;100;80;240;-0.5;70
SWS轻型高压清洗管;橡胶软管;16RH28;DN16;16;28;-40;100;80;240;-0.3;90
SWS轻型高压清洗管;橡胶软管;19RH28;DN19;19;31;-40;100;80;240;-0.3;105
SWS轻型高压清洗管;橡胶软管;25RH28;DN25;25;37;-40;100;80;240;-0.2;150
SWS轻型高压清洗管;橡胶软管;32RH28;DN32;32;45;-40;100;80;240;-0.2;200
NCH6KV无碳绝缘橡胶管;橡胶软管;6RH29;DN6;6;13;-40;120;20;60;-0.5;50
NCH6KV无碳绝缘橡胶管;橡胶软管;8RH29;DN8;8;15;-40;120;20;60;-0.5;60
NCH6KV无碳绝缘橡胶管;橡胶软管;10RH29;DN10;10;17;-40;120;20;60;-0.5;80
NCH6KV无碳绝缘橡胶管;橡胶软管;13RH29;DN13;13;21;-40;120;20;60;-0.5;100
NCH6KV无碳绝缘橡胶管;橡胶软管;16RH29;DN16;16;24;-40;120;20;60;-0.5;120
NCH6KV无碳绝缘橡胶管;橡胶软管;19RH29;DN19;19;28;-40;120;20;60;-0.2;150
NCH6KV无碳绝缘橡胶管;橡胶软管;22RH29;DN22;22;32;-40;120;20;60;-0.2;170
NCH6KV无碳绝缘橡胶管;橡胶软管;25RH29;DN25;25;37;-40;120;20;60;-0.2;200
NCH6KV无碳绝缘橡胶管;橡胶软管;32RH29;DN32;32;45;-40;120;20;60;-0.1;210
NCH6KV无碳绝缘橡胶管;橡胶软管;38RH29;DN38;38;52;-40;120;20;60;-0.1;230
NCH6KV无碳绝缘橡胶管;橡胶软管;45RH29;DN45;45;60;-40;120;20;60;-0.05;270
NCH6KV无碳绝缘橡胶管;橡胶软管;51RH29;DN51;51;66;-40;120;20;60;-0.05;300
HST热水蒸汽管;橡胶软管;13RH30;DN13;13;25;-40;170;20;60;-0.5;130
HST热水蒸汽管;橡胶软管;16RH30;DN16;16;30;-40;170;20;60;-0.3;160
HST热水蒸汽管;橡胶软管;19RH30;DN19;19;33;-40;170;20;60;-0.3;190
HST热水蒸汽管;橡胶软管;25RH30;DN25;25;40;-40;170;20;60;-0.2;250
HST热水蒸汽管;橡胶软管;32RH30;DN32;32;48;-40;170;20;60;-0.2;320
HST热水蒸汽管;橡胶软管;38RH30;DN38;38;54;-40;170;20;60;-0.2;380
HST热水蒸汽管;橡胶软管;51RH30;DN51;51;69;-40;170;20;60;-0.1;500
